Time (s),Position (m),Velocity (m/s),Diff from Predicted Velocity (m/s)
0.05,1.5435,0,
0.1,1.5429855,-0.01029,
0.15,1.541785,-0.02401,
0.2,1.5409275,-0.01715,
0.25,1.540413,-0.01029,
0.3,1.5395555,-0.01715,
0.35,1.5364685,-0.06174,
0.4,1.536297,-0.00343,
0.45,1.5381835,0.03773,
0.5,1.536297,-0.03773,
0.55,1.527036,-0.18522,
0.6,1.515031,-0.2401,
0.65,1.4959945,-0.38073,
0.7,1.46804,-0.55909,
0.75,1.439571,-0.56938,
0.8,1.4263655,-0.26411,
0.85,1.3745725,-1.03586,
0.9,1.329468,-0.90209,
0.95,1.291738,-0.7546,
1,1.250578,-0.8232,
1.05,1.207703,-0.8575,
1.1,1.158654,-0.98098,
1.15,1.109948,-0.97412,
1.2,1.0603845,-0.99127,
1.25,1.010478,-0.99813,
1.3,0.959371,-1.02214,
1.35,0.907578,-1.03586,
1.4,0.852012,-1.11132,
1.45,0.801591,-1.00842,
1.5,0.741566,-1.2005,
1.55,0.6834275,-1.16277,
1.6,0.621859,-1.23137,
1.65,0.561491,-1.20736,
1.7,0.4995795,-1.23823,
1.75,0.436639,-1.25881,
1.8,0.3740415,-1.25195,
1.85,0.3112725,-1.25538,
1.9,0.248332,-1.25881,
1.95,0.1857345,-1.25195,
