Time (s),Position (m),Velocity (m/s),Predicted Velocity (m/s)
0.25,1.3200355,-0.02744,
0.3,1.3251805,0.1029,
0.35,1.3629105,0.7546,
0.4,1.294825,-1.36171,
0.45,1.272187,-0.45276,
0.5,1.2586385,-0.27097,
0.55,1.221766,-0.73745,
0.6,1.186437,-0.70658,
0.65,1.148021,-0.76832,
0.7,1.1101195,-0.75803,
0.75,1.068102,-0.84035,
0.8,1.0240265,-0.88151,
0.85,0.978579,-0.90895,
0.9,0.941192,-0.74774,
0.95,0.8816815,-1.19021,
1,0.8312605,-1.00842,
1.05,0.777924,-1.06673,
1.1,0.7252735,-1.05301,
1.15,0.6666205,-1.17306,
1.2,0.609511,-1.14219,
1.25,0.551544,-1.15934,
1.3,0.4927195,-1.17649,
1.35,0.435953,-1.13533,
1.4,0.3767855,-1.18335,
1.45,0.316589,-1.20393,
1.5,0.259651,-1.13876,
1.55,0.2388995,-0.41503,
