Calibrated Time (s),X Position (m),Y Position (m)
0,-0.0005442953831,-0.001118829399
0.01666666666,0.06994195672,0.05216164088
0.03333333333,0.1304343408,0.1037033898
0.05,0.1970954059,0.1504220768
0.06666666666,0.2609896362,0.200587968
0.08333333333,0.3300546726,0.239127105
0.1,0.3984393397,0.2807052245
0.1166666667,0.4555903549,0.3197130603
0.1333333333,0.51584083,0.3553190499
0.15,0.5779963389,0.3879162956
0.1666666667,0.6426465349,0.4077377192
0.1833333333,0.7012943624,0.4305981253
0.2,0.7675018481,0.4558473833
0.2166666667,0.8298539081,0.4731590004
0.2333333333,0.8871863551,0.4857836294
0.25,0.9526378749,0.4955053497
0.2666666667,1.015398156,0.503216201
0.2833333333,1.076797699,0.5091127343
0.3,1.129806022,0.5053177859
0.3166666667,1.188922548,0.5055748143
0.3333333333,1.249399813,0.5000713832
0.35,1.306565948,0.4911963446
0.3666666667,1.364488048,0.481081522
0.3833333333,1.419930581,0.4668088876
0.4,1.4791983,0.454925105
0.4166666667,1.536122526,0.4333951988
0.4333333333,1.591444103,0.4113663551
0.45,1.643273119,0.3869940174
0.4666666667,1.703447998,0.3561657316
0.4833333333,1.760795564,0.3289660818
0.5,1.81218612,0.2957640634
0.5166666667,1.861384375,0.2625318064
0.5333333333,1.919971725,0.2239624308
0.55,1.974371025,0.1839416008
0.5666666667,2.03129525,0.1361040844
0.5833333333,2.083275459,0.09331641956
0.6,2.131974777,0.04147228433
0.6166666667,2.18165685,-0.009797316895
0.6333333333,2.246065137,-0.07078863843
0.65,2.304350101,-0.1290887217
0.6666666667,2.349632453,-0.1898532535
0.6833333333,2.3994506,-0.2528403247
0.7,2.458355456,-0.3179743389
0.7166666667,2.507720023,-0.3834712167
0.7333333333,2.557870795,-0.4519465997
0.75,2.60883801,-0.5231283404
0.7666666667,2.659850582,-0.6012649665
0.7833333333,2.704256014,-0.6790538483
0.8,2.754406786,-0.7535920772
0.8166666667,2.808790966,-0.8443079743
0.8333333333,2.856492409,-0.9298077074
0.85,2.903543721,-1.016728656
0.8666666667,2.947873556,-1.106492036
0.8833333333,3.001380816,-1.199233922
0.9,3.048689156,-1.294636807
