Time (s),Force (N),Position (m)
0.04,0.9564844377,0.0495635
0.08,1.006004831,0.0454475
0.12,1.23528035,0.0344715
0.16,1.644700921,0.016807
0.2,2.165249932,-0.0039445
0.24,2.704515312,-0.02401
0.28,3.095219514,-0.039788
0.32,3.349450192,-0.048363
0.36,3.405209374,-0.04802
0.4,3.194260299,-0.039102
0.44,2.822272467,-0.022981
0.48,2.32628869,-0.002744
0.52,1.805739678,0.0176645
0.56,1.315994691,0.035329
0.6,1.030959989,0.0457905
0.64,0.9564844377,0.0478485
0.68,1.105045616,0.0427035
0.72,1.470794659,0.027783
0.76,1.985494805,0.008232
0.8,2.487717372,-0.0149205
0.84,2.95874599,-0.0337855
0.88,3.293691009,-0.046305
0.92,3.411448164,-0.052136
0.96,3.293691009,-0.046991
1,2.995788804,-0.031213
1.04,2.530998975,-0.011662
1.08,1.997972384,0.009947
1.12,1.501988607,0.031213
1.16,1.142478354,0.0447615
1.2,0.9564844377,0.050421
1.24,1.0247212,0.04459
1.28,1.297278322,0.0320705
1.32,1.718786548,0.01372
1.36,2.252203063,-0.007546
1.4,2.772752074,-0.0272685
1.44,3.169695065,-0.041846
1.48,3.380254216,-0.049049
1.52,3.380254216,-0.047334
1.56,3.157217486,-0.0368725
1.6,2.74194805,-0.019551
1.64,2.221009114,0.001029
1.68,1.718786548,0.0214375
1.72,1.260235509,0.039445
1.76,1.01224362,0.046648
1.8,0.9748108823,0.0468195
1.84,1.173282378,0.0379015
1.88,1.539031421,0.0221235
1.92,2.047492777,0.0018865
1.96,2.592996947,-0.0186935
2,3.008266383,-0.036015
2.04,3.312017454,-0.046648
2.08,3.417297029,-0.0488775
2.12,3.250019482,-0.042189
2.16,2.927941966,-0.0276115
2.2,2.469001003,-0.0080605
2.24,1.917258043,0.0128625
2.28,1.427513056,0.0310415
2.32,1.098806827,0.046305
2.36,0.9564844377,0.0505925
2.4,1.055525223,0.044933
2.44,1.353037505,0.031899
2.48,1.830304913,0.0111475
2.52,2.338766269,-0.01029
2.56,2.822272467,-0.029498
2.6,3.206737879,-0.043218
2.64,3.380254216,-0.049049
2.68,3.336972612,-0.045962
2.72,3.082741934,-0.0343
2.76,2.667472498,-0.0166355
2.8,2.140294773,0.0039445
2.84,1.650549786,0.023667
2.88,1.253996719,0.039102
2.92,1.01224362,0.048706
2.96,0.9997660409,0.0475055
3,1.23528035,0.0358435
3.04,1.613506972,0.019208
3.08,2.128207118,-0.001029
3.12,2.661233709,-0.021266
3.16,3.064025565,-0.037387
3.2,3.318256243,-0.0471625
3.24,3.386493005,-0.04802
3.28,3.212976668,-0.0399595
3.32,2.853466415,-0.0252105
3.36,2.363721427,-0.0053165
3.4,1.861498861,0.0152635
3.44,1.396709032,0.036015
3.48,1.086719172,0.048706
3.52,0.9997660409,0.0516215
3.56,1.098806827,0.043904
3.6,1.408796687,0.029841
3.64,1.88021523,0.0104615
3.68,2.388286662,-0.0101185
3.72,2.865943994,-0.0306985
3.76,3.206737879,-0.0437325
3.8,3.380254216,-0.048363
