Time (s),Position (m),
0.04,0.4793425,
0.08,0.491519,
0.12,0.5054105,
0.16,0.5218745,
0.2,0.542626,
0.24,0.5661215,
0.28,0.5832715,
0.32,0.603337,
0.36,0.624946,
0.4,0.6474125,
0.44,0.6673065,
0.48,0.689087,
0.52,0.7108675,
0.56,0.7317905,
0.6,0.75117,
0.64,0.7695205,
0.68,0.786156,
0.72,0.8010765,
0.76,0.8137675,
0.8,0.8244005,
0.84,0.832461,
0.88,0.8381205,
0.92,0.8412075,
0.96,0.8439515,
1,0.8398355,
1.04,0.835891,
1.08,0.829374,
1.12,0.8209705,
1.16,0.810509,
1.2,0.7976465,
1.24,0.7835835,
1.28,0.7678055,
1.32,0.750827,
1.36,0.7328195,
1.4,0.714126,
1.44,0.694575,
1.48,0.675024,
1.52,0.655473,
1.56,0.6357505,
1.6,0.6196295,
1.64,0.601965,
1.68,0.585158,
1.72,0.5726385,
1.76,0.555317,
1.8,0.541597,
1.84,0.529592,
1.88,0.5184445,
1.92,0.510727,
1.96,0.5064395,
2,0.5036955,
2.04,0.5036955,
2.08,0.506268,
2.12,0.510384,
2.16,0.516901,
2.2,0.527191,
2.24,0.5376525,
2.28,0.5500005,
2.32,0.5661215,
2.36,0.580013,
2.4,0.5918465,
2.44,0.6062525,
2.48,0.6227165,
2.52,0.637294,
2.56,0.6542725,
2.6,0.6707365,
2.64,0.687372,
2.68,0.7036645,
2.72,0.718928,
2.76,0.733334,
2.8,0.746711,
2.84,0.758716,
2.88,0.769349,
2.92,0.777924,
2.96,0.785127,
3,0.7904435,
3.04,0.793702,
3.08,0.795074,
3.12,0.7945595,
3.16,0.7921585,
3.2,0.788214,
3.24,0.782726,
3.28,0.7753515,
3.32,0.766948,
3.36,0.757344,
3.4,0.7465395,
3.44,0.7348775,
3.48,0.7218435,
3.52,0.708295,
3.56,0.694575,
3.6,0.680512,
3.64,0.6662775,
3.68,0.6522145,
3.72,0.638323,
3.76,0.6247745,
3.8,0.6148275,
3.84,0.6028225,
3.88,0.592018,
3.92,0.5831,
3.96,0.577612,
4,0.570409,
4.04,0.564921,0.8319465
4.08,0.5582325,0.834519
4.12,0.558404,0.835548
4.16,0.5548025,0.834862
4.2,0.556346,0.8322895
4.24,0.5578895,0.8285165
4.28,0.5616625,0.8233715
4.32,0.56938,0.817369
4.36,0.5746965,0.8103375
4.4,0.578984,0.8024485
4.44,0.5877305,0.7945595
4.48,0.595448,0.786842
4.52,0.6055665,0.7794675
4.56,0.6158565,0.772779
4.6,0.6244315,0.766948
4.64,0.6354075,0.7619745
4.68,0.6467265,0.7585445
4.72,0.65856,0.7568295
4.76,0.6700505,0.756658
4.8,0.681198,0.757687
4.84,0.692174,0.760088
4.88,0.7022925,0.763518
4.92,0.711725,0.76832
4.96,0.720643,0.7739795
5,0.728532,0.780325
5.04,0.735049,0.7870135
5.08,0.740194,0.7938735
5.12,0.7444815,0.800219
5.16,0.7475685,0.806736
5.2,0.7492835,0.8123955
5.24,0.7496265,0.8171975
5.28,0.748769,0.8209705
5.32,0.7468825,0.8232
5.36,0.7434525,0.824572
5.4,0.739508,0.8244005
5.44,0.734706,0.8232
5.48,0.728875,0.820799
5.52,0.7221865,0.817369
5.56,0.7149835,0.8127385
5.6,0.7074375,0.8079365
5.64,0.699034,0.8024485
5.68,0.6906305,0.796789
5.72,0.681541,0.7911295
5.76,0.6727945,0.78547
5.8,0.663705,0.7801535
5.84,0.6549585,0.775523
5.88,0.646212,0.7719215
5.92,0.6405525,0.7691775
5.96,0.632835,0.7674625
6,0.6258035,0.7664335
6.04,0.6189435,0.766948
6.08,0.6107115,0.7684915
6.12,0.6086535,0.7708925
6.16,0.605052,0.774151
6.2,0.601622,0.777924
6.24,0.599564,0.781697
6.28,0.598535,0.786499
6.32,0.598535,0.7914725
6.36,0.5993925,0.7962745
6.4,0.6017935,0.800905
6.44,0.6035085,0.8051925
6.48,0.6062525,0.808451
6.52,0.609854,0.8113665
6.56,0.614313,0.8134245
6.6,0.6192865,0.814625
6.64,0.621859,0.8147965
6.68,0.630091,0.814282
6.72,0.6336925,0.8123955
6.76,0.6391805,0.810509
6.8,0.6456975,0.8079365
6.84,0.6522145,0.8048495
6.88,0.6587315,0.801591
6.92,0.6649055,0.797475
6.96,0.670908,0.793702
7,0.676739,0.789929
7.04,0.682227,0.786499
7.08,0.687372,0.7835835
7.12,0.6916595,0.781011
7.16,0.695604,0.77861
7.2,0.699034,0.7774095
7.24,0.701778,0.776895
7.28,0.7040075,0.7770665
7.32,0.7050365,0.7777525
7.36,0.7057225,0.778953
7.4,0.705551,0.780325
7.44,0.7046935,0.7825545
7.48,0.703836,0.785127
7.52,0.702121,0.787871
7.56,0.700406,0.7907865
7.6,0.698005,0.7935305
7.64,0.6950895,0.7959315
7.68,0.692174,0.798504
7.72,0.6889155,0.8007335
7.76,0.685314,0.8027915
7.8,0.681541,0.8041635
7.84,0.677768,0.804678
7.88,0.6738235,0.805021
7.92,0.669879,0.8048495
7.96,0.666106,0.8045065
8,0.662333,0.803649
8.04,0.6587315,0.8024485
8.08,0.65513,0.8007335
8.12,0.6515285,0.7990185
8.16,0.6484415,0.7973035
8.2,0.6456975,0.795417
8.24,0.643468,0.793702
8.28,0.641753,0.791987
8.32,0.640038,0.789929
8.36,0.6388375,0.7887285
8.4,0.6384945,0.7876995
8.44,0.638323,0.786842
8.48,0.6384945,0.786499
8.52,0.638666,0.786499
8.56,0.6391805,0.7863275
8.6,0.6398665,0.786842
8.64,0.6408955,0.7873565
8.68,0.6419245,0.788214
8.72,0.6426105,0.7890715
8.76,0.644154,0.789586
8.8,0.6450115,0.790615
8.84,0.6460405,0.791644
8.88,0.647927,0.7925015
8.92,0.6491275,0.7935305
8.96,0.650671,0.794388
9,0.6522145,0.7945595
9.04,0.6535865,0.795074
9.08,0.65513,0.7955885
9.12,0.656502,0.79576
9.16,0.6577025,0.79576
9.2,0.6590745,0.79576
9.24,0.6601035,0.795417
9.28,0.6611325,0.795417
9.32,0.6621615,0.7952455
9.36,0.662676,0.7952455
9.4,0.6631905,0.795417
9.44,0.663705,0.795417
9.48,0.6638765,0.795074
9.52,0.6635335,0.795074
9.56,0.6635335,0.7952455
9.6,0.6635335,0.7952455
9.64,0.6635335,0.795417
9.68,0.6635335,0.795417
9.72,0.6635335,0.795074
9.76,0.6635335,0.795074
9.8,0.663705,0.7952455
9.84,0.663705,0.7952455
9.88,0.663705,0.795417
9.92,0.663705,0.795074
9.96,0.663705,0.795074
10,0.663705,0.7952455
