Time (s),Position 1 (m),Position 2 (m),Position 3 (m)
0.04,-0.003246,-0.002863,-0.00638
0.08,-0.002918,-0.00459,-0.006846
0.12,-0.001692,-0.003537,-0.006518
0.16,0.001277,-0.000308,-0.003339
0.2,0.004817,0.002334,0.001567
0.24,0.008822,0.007186,0.006646
0.28,0.011774,0.009725,0.011086
0.32,0.013138,0.011849,0.015024
0.36,0.013345,0.015008,0.017063
0.4,0.011118,0.014387,0.016907
0.44,0.007458,0.010882,0.013003
0.48,0.002227,0.006012,0.007251
0.52,-0.002901,-0.000101,-2.20E-05
0.56,-0.006716,-0.004469,-0.00593
0.6,-0.009479,-0.00813,-0.01075
0.64,-0.009876,-0.01053,-0.013186
0.68,-0.008028,-0.010306,-0.013238
0.72,-0.003419,-0.007249,-0.009887
0.76,0.002434,-0.001413,-0.00365
0.8,0.008926,0.004631,0.004262
0.84,0.014571,0.011348,0.012088
0.88,0.019077,0.016994,0.018652
0.92,0.020683,0.021121,0.022781
0.96,0.019129,0.021432,0.024526
1,0.014261,0.018617,0.021347
1.04,0.007113,0.012384,0.014869
1.08,-0.000743,0.005045,0.005281
1.12,-0.008477,-0.00383,-0.004324
1.16,-0.014278,-0.010582,-0.012219
1.2,-0.016315,-0.015434,-0.017902
1.24,-0.015936,-0.017437,-0.020407
1.28,-0.011343,-0.015262,-0.019008
1.32,-0.00385,-0.008924,-0.012253
1.36,0.004385,-0.000947,-0.002907
1.4,0.014468,0.008602,0.007613
1.44,0.021633,0.016148,0.017426
1.48,0.026104,0.023815,0.024941
1.52,0.027123,0.027873,0.03014
1.56,0.022996,0.026958,0.029968
1.6,0.015141,0.020793,0.024111
1.64,0.005093,0.012297,0.014385
1.68,-0.005784,0.001263,0.002431
1.72,-0.015038,-0.009097,-0.009213
1.76,-0.020942,-0.017696,-0.019094
1.8,-0.022548,-0.022428,-0.024674
1.84,-0.020131,-0.022272,-0.025728
1.88,-0.012638,-0.01799,-0.021513
1.92,-0.002555,-0.009097,-0.01215
1.96,0.009651,0.001781,-0.000109
2,0.0207,0.013472,0.012485
2.04,0.028573,0.023625,0.023213
2.08,0.032699,0.031344,0.031471
2.12,0.03194,0.033865,0.035237
2.16,0.024688,0.030895,0.033215
2.2,0.01376,0.021846,0.024612
2.24,0.000431,0.009569,0.011068
2.28,-0.012534,-0.003934,-0.003875
2.32,-0.022842,-0.015642,-0.016296
2.36,-0.028349,-0.024724,-0.026091
2.4,-0.028556,-0.029058,-0.031481
2.44,-0.022997,-0.027297,-0.030047
2.48,-0.012621,-0.019544,-0.023154
2.52,0.001018,-0.00794,-0.010526
2.56,0.015693,0.006098,0.003934
2.6,0.027779,0.019619,0.019343
2.64,0.036308,0.031516,0.031626
2.68,0.039312,0.038406,0.039659
2.72,0.035513,0.039356,0.04187
2.76,0.025621,0.033364,0.036325
2.8,0.01117,0.021967,0.024526
2.84,-0.004541,0.006426,0.008598
2.88,-0.019302,-0.009235,-0.008176
2.92,-0.029886,-0.022911,-0.023154
2.96,-0.034633,-0.03151,-0.03326
3,-0.032579,-0.034256,-0.037061
3.04,-0.024085,-0.030077,-0.033726
3.08,-0.010463,-0.019648,-0.02388
3.12,0.006232,-0.004797,-0.008314
3.16,0.022461,0.011279,0.00865
3.2,0.035427,0.026664,0.024854
3.24,0.042765,0.038924,0.0375
3.28,0.044077,0.044502,0.045135
3.32,0.037033,0.042533,0.044773
3.36,0.02386,0.033796,0.036152
3.4,0.006526,0.019084,0.021468
3.44,-0.011619,0.000435,0.003105
3.48,-0.027382,-0.016488,-0.01538
3.52,-0.037189,-0.030526,-0.030323
3.56,-0.039899,-0.038469,-0.039566
3.6,-0.035048,-0.038832,-0.041293
3.64,-0.023377,-0.031666,-0.034884
3.68,-0.006198,-0.018232,-0.021547
3.72,0.012689,-0.000394,-0.003046
3.76,0.030369,0.018099,0.016337
3.8,0.043283,0.034745,0.033665
3.84,0.049895,0.045969,0.046034
3.88,0.047702,0.050062,0.051683
3.92,0.037274,0.045313,0.047848
3.96,0.020873,0.032915,0.035859
4,0.000449,0.015216,0.017806
4.04,-0.019302,-0.005419,-0.003339
4.08,-0.035117,-0.024085,-0.023534
4.12,-0.043905,-0.037986,-0.038425
4.16,-0.04425,-0.044237,-0.045888
4.2,-0.036084,-0.041923,-0.044921
4.24,-0.02165,-0.032063,-0.035437
4.28,-0.001243,-0.014675,-0.018144
4.32,0.020182,0.005287,0.002655
4.36,0.038207,0.024955,0.023628
4.4,0.050672,0.041911,0.04092
4.44,0.055161,0.0526,0.053065
4.48,0.049705,0.053981,0.056071
4.52,0.035203,0.045866,0.049195
4.56,0.016022,0.030152,0.033699
4.6,-0.006613,0.009552,0.012882
4.64,-0.027538,-0.012758,-0.010405
4.68,-0.042472,-0.03208,-0.030738
4.72,-0.049706,-0.044547,-0.044765
4.76,-0.047116,-0.04902,-0.050242
4.8,-0.035307,-0.043788,-0.046268
4.84,-0.016937,-0.030543,-0.033675
4.88,0.005835,-0.009926,-0.013514
4.92,0.028573,0.01209,0.009237
4.96,0.046114,0.033036,0.031229
5,0.057198,0.048698,0.04764
5.04,0.058769,0.057711,0.057297
5.08,0.049722,0.056364,0.057349
5.12,0.032078,0.045676,0.047416
5.16,0.009685,0.026422,0.02919
5.2,-0.014813,0.002766,0.005368
5.24,-0.036481,-0.021409,-0.019543
5.28,-0.050051,-0.039574,-0.039324
5.32,-0.054212,-0.051023,-0.052056
5.36,-0.048014,-0.052594,-0.054215
5.4,-0.03339,-0.04434,-0.046873
5.44,-0.010981,-0.027021,-0.030461
5.48,0.013846,-0.004072,-0.007347
5.52,0.036964,0.020051,0.017685
5.56,0.054487,0.041342,0.040436
5.6,0.063085,0.055967,0.05671
5.64,0.061393,0.062045,0.06438
5.68,0.048445,0.057677,0.0607
5.72,0.027399,0.043293,0.046794
5.76,0.001554,0.020949,0.024146
5.8,-0.023757,-0.005056,-0.001663
5.84,-0.044509,-0.029732,-0.026488
5.88,-0.056404,-0.047138,-0.046407
5.92,-0.057337,-0.056358,-0.057065
5.96,-0.047582,-0.054753,-0.056703
6,-0.029074,-0.042993,-0.045906
