Time (s),Position (m)
0.04,-0.004264
0.08,-0.005308
0.12,-0.004629
0.16,-0.003464
0.2,-0.000682
0.24,0.002204
0.28,0.006934
0.32,0.01029
0.36,0.012968
0.4,0.013507
0.44,0.013315
0.48,0.009855
0.52,0.006099
0.56,0.000952
0.6,-0.005742
0.64,-0.010055
0.68,-0.01228
0.72,-0.012959
0.76,-0.010959
0.8,-0.007446
0.84,-0.002647
0.88,0.003091
0.92,0.011594
0.96,0.015837
1,0.019123
1.04,0.01841
1.08,0.015367
1.12,0.010272
1.16,0.004308
1.2,-0.002978
1.24,-0.011741
1.28,-0.016054
1.32,-0.018453
1.36,-0.016645
1.4,-0.013324
1.44,-0.006838
1.48,0.001735
1.52,0.010203
1.56,0.017419
1.6,0.022427
1.64,0.024114
1.68,0.022601
1.72,0.01608
1.76,0.009699
1.8,0.000222
1.84,-0.009585
1.88,-0.017636
1.92,-0.021861
1.96,-0.023287
2,-0.018818
2.04,-0.013654
2.08,-0.004351
2.12,0.006099
2.16,0.015941
2.2,0.022653
2.24,0.028148
2.28,0.027783
2.32,0.024253
2.36,0.015559
2.4,0.006325
2.44,-0.00696
2.48,-0.01621
2.52,-0.023496
2.56,-0.026817
2.6,-0.02487
2.64,-0.019653
2.68,-0.010855
2.72,-7.4E-05
2.76,0.010516
2.8,0.021801
2.84,0.02893
2.88,0.031695
2.92,0.030008
2.96,0.02314
3,0.013002
3.04,-0.001934
3.08,-0.012872
3.12,-0.022835
3.16,-0.028069
3.2,-0.030503
3.24,-0.025756
3.28,-0.018645
3.32,-0.006334
3.36,0.004673
3.4,0.01954
3.44,0.027974
3.48,0.034373
3.52,0.034025
3.56,0.030408
3.6,0.020201
3.64,0.008881
3.68,-0.007551
3.72,-0.018471
3.76,-0.02826
3.8,-0.031599
3.84,-0.031303
3.88,-0.024522
3.92,-0.014767
3.96,-0.001447
4,0.012881
4.04,0.025331
4.08,0.033069
4.12,0.036668
4.16,0.034182
4.2,0.027591
4.24,0.01568
4.28,0.000431
4.32,-0.013828
4.36,-0.025426
4.4,-0.032434
4.44,-0.034277
4.48,-0.029912
4.52,-0.021653
4.56,-0.008803
4.6,0.004499
4.64,0.020601
4.68,0.030982
4.72,0.037642
4.76,0.038111
4.8,0.033521
4.84,0.022497
4.88,0.009977
4.92,-0.007307
4.96,-0.02007
5,-0.031182
5.04,-0.035268
5.08,-0.035494
5.12,-0.027634
5.16,-0.017253
5.2,-0.002873
5.24,0.01302
5.28,0.027
5.32,0.035034
5.36,0.040285
5.4,0.037659
5.44,0.031278
5.48,0.017645
5.52,0.003508
5.56,-0.01395
5.6,-0.026469
5.64,-0.034955
5.68,-0.036781
5.72,-0.033686
5.76,-0.024452
5.8,-0.011341
5.84,0.003439
5.88,0.020271
5.92,0.032477
5.96,0.039276
6,0.041102
6.04,0.036407
6.08,0.026444
6.12,0.012098
6.16,-0.005725
6.2,-0.019983
6.24,-0.032451
6.28,-0.03725
6.32,-0.037598
6.36,-0.030521
6.4,-0.020123
6.44,-0.005203
6.48,0.008934
6.52,0.026965
6.56,0.036599
6.6,0.041902
6.64,0.040337
